Start Date,Last Buy Date,Sell Date,Total ETH Bought,Total Paid USD,Current Value of DCA Asset,ROI,Current Value of Hold Asset,ROI Hold
2023-03-17,2023-06-16,2023-06-23,0.7613234121908069,1400,1445.6465744726356,3.2604696051882582,1533.7772033878748,9.555514527705343
2023-03-18,2023-06-17,2023-06-24,0.7583967791496775,1400,1430.7306918014497,2.1950494143892616,1470.7168352999481,5.051202521424866
2023-03-19,2023-06-18,2023-06-25,0.7588416081765881,1400,1441.7687018711904,2.9834787050850275,1474.9606299212599,5.354330708661418
2023-03-20,2023-06-19,2023-06-26,0.7654931988904538,1400,1433.6080079500528,2.4005719964323395,1483.0540016177292,5.932428686980659
2023-03-21,2023-06-20,2023-06-27,0.7606444339060627,1400,1433.1073585893955,2.3648113278139657,1481.3118804930782,5.8079914637913
2023-03-22,2023-06-21,2023-06-28,0.7583326378668548,1400,1407.5867091029413,0.5419077930672367,1468.4727143268858,4.8909081662061284
2023-03-23,2023-06-22,2023-06-29,0.7598986584559221,1400,1407.5526860713198,0.5394775765228457,1446.1251052581683,3.294650375583452
2023-03-24,2023-06-23,2023-06-30,0.7562911746758215,1400,1428.0894993168602,2.006392808347154,1489.2301452279821,6.373581801998723
2023-03-25,2023-06-24,2023-07-01,0.7557192551788611,1400,1456.104746493526,4.007481892394708,1550.5857466401478,10.75612476001056
2023-03-26,2023-06-25,2023-07-02,0.7560234800535427,1400,1456.8799267675784,4.062851911969882,1524.6093595474504,8.900668539103599
2023-03-27,2023-06-26,2023-07-03,0.7623255032668224,1400,1490.1405310007556,6.438609357196827,1576.4405656844954,12.602897548892528
2023-03-28,2023-06-27,2023-07-04,0.7575617504262603,1400,1476.8590568384902,5.48993263132073,1562.4132719653776,11.600947997526971
2023-03-29,2023-06-28,2023-07-05,0.7556976774290659,1400,1450.7732871747721,3.62666336962658,1493.7846324857578,6.698902320411272
2023-03-30,2023-06-29,2023-07-06,0.7581199680912472,1400,1441.8911109117857,2.992222207984696,1481.9463923952003,5.853313742514307
2023-03-31,2023-06-30,2023-07-07,0.7529158374366416,1400,1396.2748913678774,-0.26607918800875396,1431.3201867788368,2.237156198488346
2023-04-01,2023-07-01,2023-07-08,0.7501368198411418,1400,1394.1817892521508,-0.4155864819892291,1425.2447073645,1.8031933831785765
2023-04-02,2023-07-02,2023-07-09,0.7514046269276944,1400,1403.781638072588,0.27011700518486187,1453.375194487664,3.812513891975998
2023-04-03,2023-07-03,2023-07-10,0.7558781179251678,1400,1418.8739327196909,1.3481380514064898,1458.0867094998723,4.1490506785623085
2023-04-04,2023-07-04,2023-07-11,0.7516109899722302,1400,1410.2477004848954,0.7319786060639574,1423.9204674812172,1.7086048200869428
2023-04-05,2023-07-05,2023-07-12,0.752208265975456,1400,1416.731614386153,1.1951153132966477,1386.5353469490776,-0.9617609322087414
2023-04-06,2023-07-06,2023-07-13,0.7550424028062397,1400,1463.4156346950258,4.529688192501843,1440.8957189434893,2.921122781677809
2023-04-07,2023-07-07,2023-07-14,0.751709491649666,1400,1476.1920655117813,5.442290393698661,1474.8233779470534,5.3445269962180975
2023-04-08,2023-07-08,2023-07-15,0.7491666151229022,1400,1451.2106501545736,3.657903582469544,1454.9112387941996,3.9222313424428257
2023-04-09,2023-07-09,2023-07-16,0.749363896018441,1400,1446.0175355909448,3.28696682792463,1459.5889522821576,4.25635373443983
2023-04-10,2023-07-10,2023-07-17,0.7536677900406626,1400,1436.2270240909888,2.5876445779277737,1417.0433360067561,1.217381143339724
2023-04-11,2023-07-11,2023-07-18,0.7507003654345301,1400,1424.5215064449098,1.7515361746364175,1389.717675491596,-0.7344517506002798
2023-04-12,2023-07-12,2023-07-19,0.752718909286972,1400,1431.0466087691127,2.2176149120794793,1404.5879596403092,0.3277114028792312
2023-04-13,2023-07-13,2023-07-20,0.7535352632679706,1400,1431.34023257751,2.238588041250718,1355.3957421215998,-3.186018419885727
2023-04-14,2023-07-14,2023-07-21,0.7489879408668808,1400,1419.5868038426338,1.3990574173309855,1282.5478150330366,-8.389441783354528
2023-04-15,2023-07-15,2023-07-22,0.7471418196335403,1400,1401.7052963962885,0.12180688544918081,1254.4362137559162,-10.397413303148841
2023-04-16,2023-07-16,2023-07-23,0.7471581428109123,1400,1406.1740395144213,0.441002822458667,1250.435187030762,-10.683200926374136
2023-04-17,2023-07-17,2023-07-24,0.7530289627936134,1400,1403.1263966629679,0.22331404735484742,1247.2073743294543,-10.91375897646755
